
%
% subject = 'ak'; condition = 'bright'; version='physical';
% time = '04-Apr-2022 10:33:53';
%
% trial, refk, refr, refi, testrk, testr, testik, testi, refleft, choosetest, stimt, rt, totaltime
%

164, 3, 0.4500, 147.0000,  4, 0.3858,  5, 136.1111, 0, 0,  0.154,  1.235,  413.088
165, 3, 0.4500, 147.0000, 11, 0.6612,  2, 108.0494, 0, 0,  0.496,  0.163,  414.766
166, 2, 0.3000, 192.0000,  7, 0.3240,  9, 241.8647, 1, 1,  0.772,  0.896,  417.452
167, 1, 0.1500, 251.0000, 11, 0.2204, 11, 368.8013, 0, 1,  0.728,  0.288,  419.492
168, 2, 0.3000, 192.0000, 11, 0.4408,  2, 141.1257, 1, 0,  1.138,  0.975,  422.630
169, 1, 0.1500, 251.0000,  5, 0.1389,  7, 271.0800, 1, 0,  1.306,  1.159,  426.112
170, 1, 0.1500, 251.0000,  4, 0.1286,  8, 292.7664, 0, 1,  0.072,  0.200,  427.405
171, 1, 0.1500, 251.0000,  5, 0.1389,  5, 232.4074, 0, 0,  0.072,  0.175,  428.678
172, 1, 0.1500, 251.0000,  6, 0.1500,  7, 271.0800, 1, 1,  0.056,  1.961,  431.714
173, 2, 0.3000, 192.0000,  1, 0.2042,  2, 141.1257, 0, 0,  0.622,  0.340,  433.695
174, 3, 0.4500, 147.0000, 10, 0.6122,  5, 136.1111, 1, 0,  0.688,  0.191,  435.595
175, 3, 0.4500, 147.0000,  6, 0.4500, 11, 215.9912, 1, 1,  0.147,  0.111,  436.867
176, 2, 0.3000, 192.0000,  2, 0.2205,  5, 177.7778, 0, 1,  0.522,  0.418,  438.823
177, 2, 0.3000, 192.0000,  9, 0.3779,  7, 207.3600, 0, 1,  0.311,  0.158,  440.312
178, 2, 0.3000, 192.0000,  8, 0.3499,  1, 130.6720, 0, 0,  0.027,  0.184,  441.537
179, 2, 0.3000, 192.0000,  2, 0.2205,  7, 207.3600, 0, 0,  0.141,  0.521,  443.225
180, 1, 0.1500, 251.0000,  8, 0.1750,  1, 170.8264, 1, 0,  0.410,  0.289,  444.945
181, 2, 0.3000, 192.0000,  3, 0.2381,  7, 207.3600, 1, 1,  0.641,  0.218,  446.822
182, 1, 0.1500, 251.0000,  9, 0.1890,  8, 292.7664, 0, 1,  0.358,  0.308,  448.514
183, 3, 0.4500, 147.0000,  1, 0.3063,  5, 136.1111, 0, 0,  1.176,  2.214,  452.920
184, 3, 0.4500, 147.0000,  8, 0.5249,  4, 126.0288, 0, 0,  0.417,  0.229,  454.584
